sentence,entity1,entity2,label
The LCS divide flow into regions of qualitatively different dynamics and are used to locate boundaries of the flow segments in a normalized cuts framework .,LCS,boundaries of the flow segments,USED-FOR
The LCS divide flow into regions of qualitatively different dynamics and are used to locate boundaries of the flow segments in a normalized cuts framework .,normalized cuts framework,boundaries of the flow segments,USED-FOR
The experiments are conducted on a challenging set of videos taken from Google Video and a National Geographic documentary .,Google Video,National Geographic documentary,CONJUNCTION
"Over the last decade , a variety of SMT algorithms have been built and empirically tested whereas little is known about the computational complexity of some of the fundamental problems of SMT .",computational complexity,problems,EVALUATE-FOR
"Over the last decade , a variety of SMT algorithms have been built and empirically tested whereas little is known about the computational complexity of some of the fundamental problems of SMT .",problems,SMT,PART-OF
Our work aims at providing useful insights into the the computational complexity of those problems .,computational complexity,problems,EVALUATE-FOR
"We prove that while IBM Models 1-2 are conceptually and computationally simple , computations involving the higher -LRB- and more useful -RRB- models are hard .",IBM Models 1-2,models,COMPARE
"Since it is unlikely that there exists a polynomial time solution for any of these hard problems -LRB- unless P = NP and P #P = P -RRB- , our results highlight and justify the need for developing polynomial time approximations for these computations .",polynomial time solution,hard problems,USED-FOR
"Since it is unlikely that there exists a polynomial time solution for any of these hard problems -LRB- unless P = NP and P #P = P -RRB- , our results highlight and justify the need for developing polynomial time approximations for these computations .",polynomial time approximations,computations,USED-FOR
Most state-of-the-art evaluation measures for machine translation assign high costs to movements of word blocks .,evaluation measures,machine translation,EVALUATE-FOR
"In this paper , we will present a new evaluation measure which explicitly models block reordering as an edit operation .",evaluation measure,block reordering,USED-FOR
"In this paper , we will present a new evaluation measure which explicitly models block reordering as an edit operation .",edit operation,block reordering,USED-FOR
Our measure can be exactly calculated in quadratic time .,quadratic time,measure,FEATURE-OF
"Furthermore , we will show how some evaluation measures can be improved by the introduction of word-dependent substitution costs .",word-dependent substitution costs,evaluation measures,USED-FOR
The correlation of the new measure with human judgment has been investigated systematically on two different language pairs .,measure,human judgment,COMPARE
The experimental results will show that it significantly outperforms state-of-the-art approaches in sentence-level correlation .,it,approaches,COMPARE
The experimental results will show that it significantly outperforms state-of-the-art approaches in sentence-level correlation .,sentence-level correlation,it,EVALUATE-FOR
The experimental results will show that it significantly outperforms state-of-the-art approaches in sentence-level correlation .,sentence-level correlation,approaches,EVALUATE-FOR
Results from experiments with word dependent substitution costs will demonstrate an additional increase of correlation between automatic evaluation measures and human judgment .,automatic evaluation measures,human judgment,CONJUNCTION
The Rete and Treat algorithms are considered the most efficient implementation techniques for Forward Chaining rule systems .,Rete and Treat algorithms,implementation techniques,HYPONYM-OF
The Rete and Treat algorithms are considered the most efficient implementation techniques for Forward Chaining rule systems .,Rete and Treat algorithms,Forward Chaining rule systems,USED-FOR
These algorithms support a language of limited expressive power .,algorithms,language of limited expressive power,USED-FOR
In this paper we show how to support full unification in these algorithms .,algorithms,full unification,USED-FOR
We also show that : Supporting full unification is costly ; Full unification is not used frequently ; A combination of compile time and run time checks can determine when full unification is not needed .,compile time,run time,CONJUNCTION
We also show that : Supporting full unification is costly ; Full unification is not used frequently ; A combination of compile time and run time checks can determine when full unification is not needed .,compile time,full unification,EVALUATE-FOR
We also show that : Supporting full unification is costly ; Full unification is not used frequently ; A combination of compile time and run time checks can determine when full unification is not needed .,run time,full unification,EVALUATE-FOR
A method for error correction of ill-formed input is described that acquires dialogue patterns in typical usage and uses these patterns to predict new inputs .,method,error correction,USED-FOR
A method for error correction of ill-formed input is described that acquires dialogue patterns in typical usage and uses these patterns to predict new inputs .,ill-formed input,error correction,USED-FOR
A dialogue acquisition and tracking algorithm is presented along with a description of its implementation in a voice interactive system .,dialogue acquisition and tracking algorithm,voice interactive system,USED-FOR
A series of tests are described that show the power of the error correction methodology when stereotypic dialogue occurs .,stereotypic dialogue,error correction methodology,USED-FOR
Traditional linear Fukunaga-Koontz Transform -LRB- FKT -RRB- -LSB- 1 -RSB- is a powerful discriminative subspaces building approach .,linear Fukunaga-Koontz Transform -LRB- FKT -RRB-,discriminative subspaces building approach,HYPONYM-OF
Previous work has successfully extended FKT to be able to deal with small-sample-size .,FKT,small-sample-size,USED-FOR
"In this paper , we extend traditional linear FKT to enable it to work in multi-class problem and also in higher dimensional -LRB- kernel -RRB- subspaces and therefore provide enhanced discrimination ability .",linear FKT,it,USED-FOR
"In this paper , we extend traditional linear FKT to enable it to work in multi-class problem and also in higher dimensional -LRB- kernel -RRB- subspaces and therefore provide enhanced discrimination ability .",it,multi-class problem,USED-FOR
"In this paper , we extend traditional linear FKT to enable it to work in multi-class problem and also in higher dimensional -LRB- kernel -RRB- subspaces and therefore provide enhanced discrimination ability .",it,higher dimensional -LRB- kernel -RRB- subspaces,USED-FOR
"In this paper , we extend traditional linear FKT to enable it to work in multi-class problem and also in higher dimensional -LRB- kernel -RRB- subspaces and therefore provide enhanced discrimination ability .",it,discrimination ability,FEATURE-OF
"In this paper , we extend traditional linear FKT to enable it to work in multi-class problem and also in higher dimensional -LRB- kernel -RRB- subspaces and therefore provide enhanced discrimination ability .",multi-class problem,higher dimensional -LRB- kernel -RRB- subspaces,CONJUNCTION
We verify the effectiveness of the proposed Kernel Fukunaga-Koontz Transform by demonstrating its effectiveness in face recognition applications ; however the proposed non-linear generalization can be applied to any other domain specific problems .,face recognition applications,Kernel Fukunaga-Koontz Transform,EVALUATE-FOR
We verify the effectiveness of the proposed Kernel Fukunaga-Koontz Transform by demonstrating its effectiveness in face recognition applications ; however the proposed non-linear generalization can be applied to any other domain specific problems .,non-linear generalization,domain specific problems,USED-FOR
"While this task has much in common with paraphrases acquisition which aims to discover semantic equivalence between verbs , the main challenge of entailment acquisition is to capture asymmetric , or directional , relations .",task,paraphrases acquisition,COMPARE
"While this task has much in common with paraphrases acquisition which aims to discover semantic equivalence between verbs , the main challenge of entailment acquisition is to capture asymmetric , or directional , relations .",paraphrases acquisition,semantic equivalence,USED-FOR
"While this task has much in common with paraphrases acquisition which aims to discover semantic equivalence between verbs , the main challenge of entailment acquisition is to capture asymmetric , or directional , relations .",entailment acquisition,"asymmetric , or directional , relations",USED-FOR
"Motivated by the intuition that it often underlies the local structure of coherent text , we develop a method that discovers verb entailment using evidence about discourse relations between clauses available in a parsed corpus .",method,verb entailment,USED-FOR
"Motivated by the intuition that it often underlies the local structure of coherent text , we develop a method that discovers verb entailment using evidence about discourse relations between clauses available in a parsed corpus .",discourse relations,method,USED-FOR
"Motivated by the intuition that it often underlies the local structure of coherent text , we develop a method that discovers verb entailment using evidence about discourse relations between clauses available in a parsed corpus .",parsed corpus,discourse relations,USED-FOR
"In comparison with earlier work , the proposed method covers a much wider range of verb entailment types and learns the mapping between verbs with highly varied argument structures .",method,mapping between verbs,USED-FOR
"In comparison with earlier work , the proposed method covers a much wider range of verb entailment types and learns the mapping between verbs with highly varied argument structures .",highly varied argument structures,mapping between verbs,FEATURE-OF
"In this paper , we cast the problem of point cloud matching as a shape matching problem by transforming each of the given point clouds into a shape representation called the Schrödinger distance transform -LRB- SDT -RRB- representation .",shape matching problem,point cloud matching,USED-FOR
"In this paper , we cast the problem of point cloud matching as a shape matching problem by transforming each of the given point clouds into a shape representation called the Schrödinger distance transform -LRB- SDT -RRB- representation .",shape representation,point clouds,USED-FOR
"In this paper , we cast the problem of point cloud matching as a shape matching problem by transforming each of the given point clouds into a shape representation called the Schrödinger distance transform -LRB- SDT -RRB- representation .",Schrödinger distance transform -LRB- SDT -RRB- representation,shape representation,HYPONYM-OF
"The SDT representation is an analytic expression and following the theoretical physics literature , can be normalized to have unit L2 norm-making it a square-root density , which is identified with a point on a unit Hilbert sphere , whose intrinsic geometry is fully known .",SDT representation,analytic expression,HYPONYM-OF
"The SDT representation is an analytic expression and following the theoretical physics literature , can be normalized to have unit L2 norm-making it a square-root density , which is identified with a point on a unit Hilbert sphere , whose intrinsic geometry is fully known .",square-root density,it,USED-FOR
"The SDT representation is an analytic expression and following the theoretical physics literature , can be normalized to have unit L2 norm-making it a square-root density , which is identified with a point on a unit Hilbert sphere , whose intrinsic geometry is fully known .",intrinsic geometry,unit Hilbert sphere,FEATURE-OF
"The Fisher-Rao metric , a natural metric for the space of densities leads to analytic expressions for the geodesic distance between points on this sphere .",natural metric,space of densities,USED-FOR
"The Fisher-Rao metric , a natural metric for the space of densities leads to analytic expressions for the geodesic distance between points on this sphere .",analytic expressions,geodesic distance,USED-FOR
"In this paper , we use the well known Riemannian framework never before used for point cloud matching , and present a novel matching algorithm .",Riemannian framework,point cloud matching,USED-FOR
We pose point set matching under rigid and non-rigid transformations in this framework and solve for the transformations using standard nonlinear optimization techniques .,rigid and non-rigid transformations,point set matching,USED-FOR
We pose point set matching under rigid and non-rigid transformations in this framework and solve for the transformations using standard nonlinear optimization techniques .,framework,point set matching,USED-FOR
We pose point set matching under rigid and non-rigid transformations in this framework and solve for the transformations using standard nonlinear optimization techniques .,nonlinear optimization techniques,transformations,USED-FOR
The experiments show that our algorithm outperforms state-of-the-art point set registration algorithms on many quantitative metrics .,algorithm,point set registration algorithms,COMPARE
The experiments show that our algorithm outperforms state-of-the-art point set registration algorithms on many quantitative metrics .,quantitative metrics,algorithm,EVALUATE-FOR
The experiments show that our algorithm outperforms state-of-the-art point set registration algorithms on many quantitative metrics .,quantitative metrics,point set registration algorithms,EVALUATE-FOR
"Using natural language processing , we carried out a trend survey on Japanese natural language processing studies that have been done over the last ten years .",natural language processing,trend survey on Japanese natural language processing studies,USED-FOR
This paper is useful for both recognizing trends in Japanese NLP and constructing a method of supporting trend surveys using NLP .,NLP,trend surveys,USED-FOR
"HFOs additionally serve as a prototypical example of challenges in the analysis of discrete events in high-temporal resolution , intracranial EEG data .","high-temporal resolution , intracranial EEG data",analysis of discrete events,USED-FOR
"However , previous HFO analysis have assumed a linear manifold , global across time , space -LRB- i.e. recording electrode/channel -RRB- , and individual patients .",linear manifold,HFO analysis,USED-FOR
We also estimate bounds on the Bayes classification error to quantify the distinction between two classes of HFOs -LRB- those occurring during seizures and those occurring due to other processes -RRB- .,those,HFOs,HYPONYM-OF
We also estimate bounds on the Bayes classification error to quantify the distinction between two classes of HFOs -LRB- those occurring during seizures and those occurring due to other processes -RRB- .,those,those,CONJUNCTION
We also estimate bounds on the Bayes classification error to quantify the distinction between two classes of HFOs -LRB- those occurring during seizures and those occurring due to other processes -RRB- .,those,HFOs,HYPONYM-OF
"This analysis provides the foundation for future clinical use of HFO features and guides the analysis for other discrete events , such as individual action potentials or multi-unit activity .",action potentials,discrete events,HYPONYM-OF
"This analysis provides the foundation for future clinical use of HFO features and guides the analysis for other discrete events , such as individual action potentials or multi-unit activity .",action potentials,multi-unit activity,CONJUNCTION
"This analysis provides the foundation for future clinical use of HFO features and guides the analysis for other discrete events , such as individual action potentials or multi-unit activity .",multi-unit activity,discrete events,HYPONYM-OF
"In this paper we present ONTOSCORE , a system for scoring sets of concepts on the basis of an ontology .",ontology,system,USED-FOR
We apply our system to the task of scoring alternative speech recognition hypotheses -LRB- SRH -RRB- in terms of their semantic coherence .,system,speech recognition hypotheses -LRB- SRH -RRB-,USED-FOR
We propose an efficient dialogue management for an information navigation system based on a document knowledge base .,dialogue management,information navigation system,USED-FOR
We propose an efficient dialogue management for an information navigation system based on a document knowledge base .,document knowledge base,information navigation system,USED-FOR
It is expected that incorporation of appropriate N-best candidates of ASR and contextual information will improve the system performance .,N-best candidates of ASR,contextual information,CONJUNCTION
It is expected that incorporation of appropriate N-best candidates of ASR and contextual information will improve the system performance .,N-best candidates of ASR,system,USED-FOR
It is expected that incorporation of appropriate N-best candidates of ASR and contextual information will improve the system performance .,contextual information,system,USED-FOR
The system also has several choices in generating responses or confirmations .,system,generating responses or confirmations,USED-FOR
"In this paper , this selection is optimized as minimization of Bayes risk based on reward for correct information presentation and penalty for redundant turns .",reward,minimization of Bayes risk,USED-FOR
"In this paper , this selection is optimized as minimization of Bayes risk based on reward for correct information presentation and penalty for redundant turns .",reward,correct information presentation,USED-FOR
"In this paper , this selection is optimized as minimization of Bayes risk based on reward for correct information presentation and penalty for redundant turns .",reward,penalty,CONJUNCTION
"In this paper , this selection is optimized as minimization of Bayes risk based on reward for correct information presentation and penalty for redundant turns .",penalty,minimization of Bayes risk,USED-FOR
"In this paper , this selection is optimized as minimization of Bayes risk based on reward for correct information presentation and penalty for redundant turns .",penalty,redundant turns,USED-FOR
"We have evaluated this strategy with our spoken dialogue system '' Dialogue Navigator for Kyoto City '' , which also has question-answering capability .",spoken dialogue system '' Dialogue Navigator for Kyoto City '',strategy,EVALUATE-FOR
"We have evaluated this strategy with our spoken dialogue system '' Dialogue Navigator for Kyoto City '' , which also has question-answering capability .",question-answering capability,spoken dialogue system '' Dialogue Navigator for Kyoto City '',FEATURE-OF
Effectiveness of the proposed framework was confirmed in the success rate of retrieval and the average number of turns for information access .,success rate of retrieval,framework,EVALUATE-FOR
Effectiveness of the proposed framework was confirmed in the success rate of retrieval and the average number of turns for information access .,success rate of retrieval,average number of turns,CONJUNCTION
Effectiveness of the proposed framework was confirmed in the success rate of retrieval and the average number of turns for information access .,average number of turns,framework,EVALUATE-FOR
Effectiveness of the proposed framework was confirmed in the success rate of retrieval and the average number of turns for information access .,average number of turns,information access,USED-FOR
"They are probability , rank , and entropy .",rank,entropy,CONJUNCTION
We evaluated the performance of the three pruning criteria in a real application of Chinese text input in terms of character error rate -LRB- CER -RRB- .,pruning criteria,Chinese text input,USED-FOR
We evaluated the performance of the three pruning criteria in a real application of Chinese text input in terms of character error rate -LRB- CER -RRB- .,character error rate -LRB- CER -RRB-,pruning criteria,EVALUATE-FOR
We also show that the high-performance of rank lies in its strong correlation with error rate .,error rate,rank,EVALUATE-FOR
We then present a novel method of combining two criteria in model pruning .,method,model pruning,USED-FOR
This paper proposes an annotating scheme that encodes honorifics -LRB- respectful words -RRB- .,annotating scheme,honorifics,USED-FOR
This paper proposes an annotating scheme that encodes honorifics -LRB- respectful words -RRB- .,honorifics,respectful words,HYPONYM-OF
"Honorifics are used extensively in Japanese , reflecting the social relationship -LRB- e.g. social ranks and age -RRB- of the referents .",Honorifics,Japanese,USED-FOR
This referential information is vital for resolving zero pronouns and improving machine translation outputs .,referential information,zero pronouns,USED-FOR
This referential information is vital for resolving zero pronouns and improving machine translation outputs .,referential information,machine translation outputs,USED-FOR
Visually-guided arm reaching movements are produced by distributed neural networks within parietal and frontal regions of the cerebral cortex .,distributed neural networks,Visually-guided arm reaching movements,USED-FOR
Experimental data indicate that -LRB- I -RRB- single neurons in these regions are broadly tuned to parameters of movement ; -LRB- 2 -RRB- appropriate commands are elaborated by populations of neurons ; -LRB- 3 -RRB- the coordinated action of neu-rons can be visualized using a neuronal population vector -LRB- NPV -RRB- .,neuronal population vector -LRB- NPV -RRB-,coordinated action of neu-rons,USED-FOR
"We designed a model of the cortical motor command to investigate the relation between the desired direction of the movement , the actual direction of movement and the direction of the NPV in motor cortex .",model,cortical motor command,USED-FOR
"We designed a model of the cortical motor command to investigate the relation between the desired direction of the movement , the actual direction of movement and the direction of the NPV in motor cortex .",NPV,motor cortex,USED-FOR
The model is a two-layer self-organizing neural network which combines broadly-tuned -LRB- muscular -RRB- proprioceptive and -LRB- cartesian -RRB- visual information to calculate -LRB- angular -RRB- motor commands for the initial part of the movement of a two-link arm .,two-layer self-organizing neural network,-LRB- angular -RRB- motor commands,USED-FOR
The model is a two-layer self-organizing neural network which combines broadly-tuned -LRB- muscular -RRB- proprioceptive and -LRB- cartesian -RRB- visual information to calculate -LRB- angular -RRB- motor commands for the initial part of the movement of a two-link arm .,broadly-tuned -LRB- muscular -RRB- proprioceptive,two-layer self-organizing neural network,USED-FOR
The model is a two-layer self-organizing neural network which combines broadly-tuned -LRB- muscular -RRB- proprioceptive and -LRB- cartesian -RRB- visual information to calculate -LRB- angular -RRB- motor commands for the initial part of the movement of a two-link arm .,broadly-tuned -LRB- muscular -RRB- proprioceptive,-LRB- cartesian -RRB- visual information,CONJUNCTION
The model is a two-layer self-organizing neural network which combines broadly-tuned -LRB- muscular -RRB- proprioceptive and -LRB- cartesian -RRB- visual information to calculate -LRB- angular -RRB- motor commands for the initial part of the movement of a two-link arm .,-LRB- cartesian -RRB- visual information,two-layer self-organizing neural network,USED-FOR
These results suggest the NPV does not give a faithful image of cortical processing during arm reaching movements .,arm reaching movements,image of cortical processing,FEATURE-OF
It is well-known that diversity among base classifiers is crucial for constructing a strong ensemble .,base classifiers,ensemble,USED-FOR
"In this paper , we propose an alternative way for ensemble construction by resampling pairwise constraints that specify whether a pair of instances belongs to the same class or not .",resampling pairwise constraints,ensemble construction,USED-FOR
Using pairwise constraints for ensemble construction is challenging because it remains unknown how to influence the base classifiers with the sampled pairwise constraints .,pairwise constraints,ensemble construction,USED-FOR
"First , we transform the original instances into a new data representation using projections learnt from pairwise constraints .",projections,data representation,USED-FOR
"First , we transform the original instances into a new data representation using projections learnt from pairwise constraints .",pairwise constraints,projections,USED-FOR
"Then , we build the base clas-sifiers with the new data representation .",data representation,base clas-sifiers,USED-FOR
"We propose two methods for resampling pairwise constraints following the standard Bagging and Boosting algorithms , respectively .",Bagging and Boosting algorithms,resampling pairwise constraints,USED-FOR
A new algorithm for solving the three dimensional container packing problem is proposed in this paper .,algorithm,dimensional container packing problem,USED-FOR
This new algorithm deviates from the traditional approach of wall building and layering .,algorithm,approach of wall building and layering,COMPARE
We tested our method using all 760 test cases from the OR-Library .,OR-Library,method,EVALUATE-FOR
Experimental results indicate that the new algorithm is able to achieve an average packing utilization of more than 87 % .,average packing utilization,algorithm,EVALUATE-FOR
"Current approaches to object category recognition require datasets of training images to be manually prepared , with varying degrees of supervision .",approaches,object category recognition,USED-FOR
"Current approaches to object category recognition require datasets of training images to be manually prepared , with varying degrees of supervision .",datasets,approaches,USED-FOR
"We present an approach that can learn an object category from just its name , by utilizing the raw output of image search engines available on the Internet .",approach,object category,USED-FOR
"We develop a new model , TSI-pLSA , which extends pLSA -LRB- as applied to visual words -RRB- to include spatial information in a translation and scale invariant manner .",pLSA,TSI-pLSA,USED-FOR
"We develop a new model , TSI-pLSA , which extends pLSA -LRB- as applied to visual words -RRB- to include spatial information in a translation and scale invariant manner .",pLSA,visual words,USED-FOR
"We develop a new model , TSI-pLSA , which extends pLSA -LRB- as applied to visual words -RRB- to include spatial information in a translation and scale invariant manner .",spatial information,TSI-pLSA,PART-OF
Our approach can handle the high intra-class variability and large proportion of unrelated images returned by search engines .,approach,intra-class variability,USED-FOR
Our approach can handle the high intra-class variability and large proportion of unrelated images returned by search engines .,approach,unrelated images,USED-FOR
Our approach can handle the high intra-class variability and large proportion of unrelated images returned by search engines .,intra-class variability,unrelated images,CONJUNCTION
Our approach can handle the high intra-class variability and large proportion of unrelated images returned by search engines .,search engines,unrelated images,USED-FOR
"We evaluate the models on standard test sets , showing performance competitive with existing methods trained on hand prepared datasets .",test sets,models,EVALUATE-FOR
"We evaluate the models on standard test sets , showing performance competitive with existing methods trained on hand prepared datasets .",test sets,methods,EVALUATE-FOR
"We evaluate the models on standard test sets , showing performance competitive with existing methods trained on hand prepared datasets .",methods,models,COMPARE
"We evaluate the models on standard test sets , showing performance competitive with existing methods trained on hand prepared datasets .",hand prepared datasets,methods,USED-FOR
"The paper provides an overview of the research conducted at LIMSI in the field of speech processing , but also in the related areas of Human-Machine Communication , including Natural Language Processing , Non Verbal and Multimodal Communication .",speech processing,Human-Machine Communication,CONJUNCTION
"The paper provides an overview of the research conducted at LIMSI in the field of speech processing , but also in the related areas of Human-Machine Communication , including Natural Language Processing , Non Verbal and Multimodal Communication .",Natural Language Processing,Human-Machine Communication,HYPONYM-OF
"The paper provides an overview of the research conducted at LIMSI in the field of speech processing , but also in the related areas of Human-Machine Communication , including Natural Language Processing , Non Verbal and Multimodal Communication .",Natural Language Processing,Non Verbal and Multimodal Communication,CONJUNCTION
"The paper provides an overview of the research conducted at LIMSI in the field of speech processing , but also in the related areas of Human-Machine Communication , including Natural Language Processing , Non Verbal and Multimodal Communication .",Non Verbal and Multimodal Communication,Human-Machine Communication,HYPONYM-OF
We have calculated analytical expressions for how the bias and variance of the estimators provided by various temporal difference value estimation algorithms change with offline updates over trials in absorbing Markov chains using lookup table representations .,lookup table representations,analytical expressions,USED-FOR
"In this paper , we describe the pronominal anaphora resolution module of Lucy , a portable English understanding system .",pronominal anaphora resolution module,Lucy,PART-OF
"In this paper , we describe the pronominal anaphora resolution module of Lucy , a portable English understanding system .",Lucy,English understanding system,HYPONYM-OF
"In this paper , we reported experiments of unsupervised automatic acquisition of Italian and English verb subcategorization frames -LRB- SCFs -RRB- from general and domain corpora .",general and domain corpora,unsupervised automatic acquisition of Italian and English verb subcategorization frames -LRB- SCFs -RRB-,USED-FOR
The proposed technique operates on syntactically shallow-parsed corpora on the basis of a limited number of search heuristics not relying on any previous lexico-syntactic knowledge about SCFs .,syntactically shallow-parsed corpora,technique,USED-FOR
The proposed technique operates on syntactically shallow-parsed corpora on the basis of a limited number of search heuristics not relying on any previous lexico-syntactic knowledge about SCFs .,search heuristics,technique,USED-FOR
The proposed technique operates on syntactically shallow-parsed corpora on the basis of a limited number of search heuristics not relying on any previous lexico-syntactic knowledge about SCFs .,SCFs,lexico-syntactic knowledge,FEATURE-OF
Graph-cuts optimization is prevalent in vision and graphics problems .,Graph-cuts optimization,vision and graphics problems,USED-FOR
It is thus of great practical importance to parallelize the graph-cuts optimization using to-day 's ubiquitous multi-core machines .,multi-core machines,graph-cuts optimization,USED-FOR
"However , the current best serial algorithm by Boykov and Kolmogorov -LSB- 4 -RSB- -LRB- called the BK algorithm -RRB- still has the superior empirical performance .",BK algorithm,serial algorithm,HYPONYM-OF
"In this paper , we propose a novel adaptive bottom-up approach to parallelize the BK algorithm .",adaptive bottom-up approach,BK algorithm,USED-FOR
Extensive experiments in common applications such as 2D/3D image segmentations and 3D surface fitting demonstrate the effectiveness of our approach .,applications,approach,EVALUATE-FOR
Extensive experiments in common applications such as 2D/3D image segmentations and 3D surface fitting demonstrate the effectiveness of our approach .,2D/3D image segmentations,applications,HYPONYM-OF
Extensive experiments in common applications such as 2D/3D image segmentations and 3D surface fitting demonstrate the effectiveness of our approach .,2D/3D image segmentations,3D surface fitting,CONJUNCTION
Extensive experiments in common applications such as 2D/3D image segmentations and 3D surface fitting demonstrate the effectiveness of our approach .,3D surface fitting,applications,HYPONYM-OF
We study the question of how to make loss-aware predictions in image segmentation settings where the evaluation function is the Intersection-over-Union -LRB- IoU -RRB- measure that is used widely in evaluating image segmentation systems .,Intersection-over-Union -LRB- IoU -RRB- measure,evaluation function,HYPONYM-OF
We study the question of how to make loss-aware predictions in image segmentation settings where the evaluation function is the Intersection-over-Union -LRB- IoU -RRB- measure that is used widely in evaluating image segmentation systems .,Intersection-over-Union -LRB- IoU -RRB- measure,image segmentation systems,EVALUATE-FOR
"Currently , there are two dominant approaches : the first approximates the Expected-IoU -LRB- EIoU -RRB- score as Expected-Intersection-over-Expected-Union -LRB- EIoEU -RRB- ; and the second approach is to compute exact EIoU but only over a small set of high-quality candidate solutions .",first,dominant approaches,HYPONYM-OF
"Currently , there are two dominant approaches : the first approximates the Expected-IoU -LRB- EIoU -RRB- score as Expected-Intersection-over-Expected-Union -LRB- EIoEU -RRB- ; and the second approach is to compute exact EIoU but only over a small set of high-quality candidate solutions .",second approach,dominant approaches,HYPONYM-OF
Our new methods use the EIoEU approximation paired with high quality candidate solutions .,EIoEU approximation,methods,USED-FOR
Experimentally we show that our new approaches lead to improved performance on both image segmentation tasks .,image segmentation tasks,approaches,EVALUATE-FOR
"Later , however , Breiman cast serious doubt on this explanation by introducing a boosting algorithm , arc-gv , that can generate a higher margins distribution than AdaBoost and yet performs worse .",arc-gv,boosting algorithm,HYPONYM-OF
"Later , however , Breiman cast serious doubt on this explanation by introducing a boosting algorithm , arc-gv , that can generate a higher margins distribution than AdaBoost and yet performs worse .",arc-gv,margins distribution,USED-FOR
"Later , however , Breiman cast serious doubt on this explanation by introducing a boosting algorithm , arc-gv , that can generate a higher margins distribution than AdaBoost and yet performs worse .",arc-gv,AdaBoost,COMPARE
"Although we can reproduce his main finding , we find that the poorer performance of arc-gv can be explained by the increased complexity of the base classifiers it uses , an explanation supported by our experiments and entirely consistent with the margins theory .",complexity,base classifiers,EVALUATE-FOR
"Although we can reproduce his main finding , we find that the poorer performance of arc-gv can be explained by the increased complexity of the base classifiers it uses , an explanation supported by our experiments and entirely consistent with the margins theory .",base classifiers,arc-gv,HYPONYM-OF
"The transfer phase in machine translation -LRB- MT -RRB- systems has been considered to be more complicated than analysis and generation , since it is inherently a conglomeration of individual lexical rules .",transfer phase,machine translation -LRB- MT -RRB- systems,PART-OF
"The transfer phase in machine translation -LRB- MT -RRB- systems has been considered to be more complicated than analysis and generation , since it is inherently a conglomeration of individual lexical rules .",transfer phase,analysis,COMPARE
"The transfer phase in machine translation -LRB- MT -RRB- systems has been considered to be more complicated than analysis and generation , since it is inherently a conglomeration of individual lexical rules .",transfer phase,generation,COMPARE
"The transfer phase in machine translation -LRB- MT -RRB- systems has been considered to be more complicated than analysis and generation , since it is inherently a conglomeration of individual lexical rules .",analysis,generation,CONJUNCTION
"Currently some attempts are being made to use case-based reasoning in machine translation , that is , to make decisions on the basis of translation examples at appropriate pints in MT .",case-based reasoning,machine translation,USED-FOR
"This paper proposes a new type of transfer system , called a Similarity-driven Transfer System -LRB- SimTran -RRB- , for use in such case-based MT -LRB- CBMT -RRB- .",Similarity-driven Transfer System -LRB- SimTran -RRB-,transfer system,HYPONYM-OF
"This paper proposes a new type of transfer system , called a Similarity-driven Transfer System -LRB- SimTran -RRB- , for use in such case-based MT -LRB- CBMT -RRB- .",Similarity-driven Transfer System -LRB- SimTran -RRB-,case-based MT -LRB- CBMT -RRB-,USED-FOR
This paper addresses the problem of optimal alignment of non-rigid surfaces from multi-view video observations to obtain a temporally consistent representation .,optimal alignment of non-rigid surfaces,temporally consistent representation,USED-FOR
This paper addresses the problem of optimal alignment of non-rigid surfaces from multi-view video observations to obtain a temporally consistent representation .,multi-view video observations,optimal alignment of non-rigid surfaces,USED-FOR
Conventional non-rigid surface tracking performs frame-to-frame alignment which is subject to the accumulation of errors resulting in a drift over time .,frame-to-frame alignment,non-rigid surface tracking,USED-FOR
"Recently , non-sequential tracking approaches have been introduced which reorder the input data based on a dissimilarity measure .",dissimilarity measure,non-sequential tracking approaches,USED-FOR
They demonstrate a reduced drift and increased robustness to large non-rigid deformations .,robustness,non-rigid deformations,FEATURE-OF
"Optimisation of the tree for non-sequential tracking , which minimises the errors in temporal consistency due to both the drift and the jumps , is proposed .",Optimisation of the tree,non-sequential tracking,USED-FOR
"Optimisation of the tree for non-sequential tracking , which minimises the errors in temporal consistency due to both the drift and the jumps , is proposed .",temporal consistency,Optimisation of the tree,EVALUATE-FOR
A novel cluster tree enforces sequential tracking in local segments of the sequence while allowing global non-sequential traversal among these segments .,cluster tree,sequential tracking in local segments,USED-FOR
A novel cluster tree enforces sequential tracking in local segments of the sequence while allowing global non-sequential traversal among these segments .,cluster tree,global non-sequential traversal,USED-FOR
"Comprehensive evaluation is performed on a variety of challenging non-rigid surfaces including face , cloth and people .",face,non-rigid surfaces,HYPONYM-OF
"Comprehensive evaluation is performed on a variety of challenging non-rigid surfaces including face , cloth and people .",face,cloth,CONJUNCTION
"Comprehensive evaluation is performed on a variety of challenging non-rigid surfaces including face , cloth and people .",cloth,non-rigid surfaces,HYPONYM-OF
"Comprehensive evaluation is performed on a variety of challenging non-rigid surfaces including face , cloth and people .",cloth,people,CONJUNCTION
"Comprehensive evaluation is performed on a variety of challenging non-rigid surfaces including face , cloth and people .",people,non-rigid surfaces,HYPONYM-OF
