entity1,entity2,relation_type
,,EVALUATE-FOR
,,CONJUNCTION
,,EVALUATE-FOR
,,EVALUATE-FOR
,,USED-FOR
,,FEATURE-OF
,,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,CONJUNCTION
Czech-English statistical machine translation system,tree-to-tree translation of dependency structures,USED-FOR
,,USED-FOR
,,COMPARE
Japanese,spatial descriptions,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,COMPARE
,,EVALUATE-FOR
,,EVALUATE-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
speaker DOA estimation accuracy,mobile speech application,FEATURE-OF
speaker DOA estimation accuracy,interference robustness,CONJUNCTION
interference robustness,mobile speech application,FEATURE-OF
interference robustness,compact physical size,CONJUNCTION
compact physical size,mobile speech application,FEATURE-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,HYPONYM-OF
,,CONJUNCTION
,,HYPONYM-OF
,,USED-FOR
,,USED-FOR
,,USED-FOR
morphological component,NLP-system for Dutch -LRB- Dutch Medical Language Processor - DMLP -RRB-,PART-OF
language independent modules,LSP-MLP system -LRB- Linguistic String Project - Medical Language Processor -RRB-,PART-OF
,,USED-FOR
,,USED-FOR
,,PART-OF
,,USED-FOR
,,USED-FOR
essay-based discourse elements,CriterionSM Online Essay Evaluation Service,PART-OF
thesis statements,essay-based discourse elements,HYPONYM-OF
,,USED-FOR
,,EVALUATE-FOR
,,USED-FOR
,,USED-FOR
,,USED-FOR
,,CONJUNCTION
,,USED-FOR
,,USED-FOR
,,EVALUATE-FOR
,,COMPARE
algorithm,labeling curvilinear structure,USED-FOR
line drawings,labeling curvilinear structure,FEATURE-OF
line drawings,edge images,CONJUNCTION
edge images,labeling curvilinear structure,FEATURE-OF
CURVE-ELEMENT tokens,spatially-indexed and scale-indexed data structure,PART-OF
