entity1,entity2,relation_type
solution,automatic and unsupervised word sense induction -LRB- WSI -RRB-,USED-FOR
It,one sense per collocation observation,HYPONYM-OF
clustering of word co-occurrences,it,USED-FOR
approach,approaches,COMPARE
approach,WSI,USED-FOR
approaches,WSI,USED-FOR
it,one sense per collocation observation,USED-FOR
triplets of words,it,USED-FOR
sentence co-occurrences,two-step clustering process,USED-FOR
automatic and unsupervised evaluation method,word sense disambiguation algorithms,EVALUATE-FOR
automatic parameter optimization,WSI algorithm,USED-FOR
natural language system,ungrammatical input,USED-FOR
it,computer aided second language learning,USED-FOR
system,this,USED-FOR
frequency components,measurable signals,USED-FOR
frequency components,rotational speed of the engine,FEATURE-OF
vibrations,measurable signals,HYPONYM-OF
vibrations,electrical system voltage level,CONJUNCTION
electrical system voltage level,measurable signals,HYPONYM-OF
electrical system voltage level,ambient sound,CONJUNCTION
ambient sound,measurable signals,HYPONYM-OF
signals,speed and related states of the vehicle,USED-FOR
frequency components,speed,CONJUNCTION
speed,gears,FEATURE-OF
training data,gear scale factors,USED-FOR
maximum likelihood estimation problem,estimation problem,USED-FOR
heuristics,numerical evaluation of the estimator,USED-FOR
real data,estimation method,EVALUATE-FOR
bit rates,LPC based speech coders,FEATURE-OF
buzzy or metallic artefacts,synthetic speech,FEATURE-OF
variable cutoff frequency,LPC excitation,USED-FOR
variable cutoff frequency,frequency bands,USED-FOR
coder,soft natural sounding speech,USED-FOR
mixed voicing speech,coder,USED-FOR
speech containing acoustic noise,coder,USED-FOR
parameter determination,quantisation techniques,CONJUNCTION
parameter determination,coder,USED-FOR
quantisation techniques,coder,USED-FOR
low bit rates,coder,FEATURE-OF
instantaneous linear mixtures,blind source separation,USED-FOR
signal dictionary,sparsity of sources,USED-FOR
quality of separation,sparsity of sources,EVALUATE-FOR
wavelet or wavelet packets,multi scale transforms,HYPONYM-OF
noise-free and noisy data,algorithm,EVALUATE-FOR
simulated signals,musical sounds,CONJUNCTION
simulated signals,separation quality,EVALUATE-FOR
musical sounds,images,CONJUNCTION
musical sounds,separation quality,EVALUATE-FOR
images,separation quality,EVALUATE-FOR
Deep Neural Network -LRB- DNN -RRB- stacked bottleneck features,multilingual feature-level data sharing,USED-FOR
language identification,multilingual resources,USED-FOR
those,bottleneck features,COMPARE
data,multilingual training,USED-FOR
bidirectional grammar generation system,dialogue translation system,USED-FOR
feature structure-directed generation,bidirectional grammar generation system,HYPONYM-OF
feature structure-directed generation,dialogue translation system,USED-FOR
typed feature structures,system,USED-FOR
typed feature structures,top-down derivation,USED-FOR
disjunctive feature structures,generation system,USED-FOR
disjunctive feature structures,derivation tree,USED-FOR
grammar,generator,USED-FOR
grammar,speaker 's intention,USED-FOR
telephone dialogue,speaker 's intention,FEATURE-OF
Automatic image annotation,semantic image retrieval,USED-FOR
text descriptions,semantic image retrieval,USED-FOR
keywords,automatically labeling the image contents,USED-FOR
keywords,image semantics,USED-FOR
Maximum Entropy Model-based approach,automatic image annotation,USED-FOR
visual vocabulary,image content,USED-FOR
blob-tokens,visual vocabulary,PART-OF
Maximum Entropy Model,statistical relationship,USED-FOR
blob-token set,keywords,USED-FOR
Corel Photo CDs,medium-sized image collection,USED-FOR
method,annotation,USED-FOR
method,annotation methods,COMPARE
annotation methods,annotation,USED-FOR
mean precision,annotation methods,EVALUATE-FOR
Maximum Entropy Model,automatic image annotation,USED-FOR
newswire texts,temporal expressions,FEATURE-OF
emails,temporal expressions,FEATURE-OF
Time Calculus for Natural Language -LRB- TCNL -RRB-,constraint-based representation of time,HYPONYM-OF
it,baseline,COMPARE
object category detection datasets,per-object 3D reconstructions,USED-FOR
ground truth figure-ground segmentations,per-object 3D reconstructions,USED-FOR
ground truth figure-ground segmentations,keypoint annotations,CONJUNCTION
keypoint annotations,per-object 3D reconstructions,USED-FOR
algorithm,camera viewpoint,USED-FOR
algorithm,object shapes,USED-FOR
rigid structure-from-motion,algorithm,USED-FOR
visual hull proposals,object shapes,USED-FOR
loose within-class shape similarity assumptions,visual hull proposals,USED-FOR
method,per-object 3D reconstructions,USED-FOR
object-category detection datasets,method,USED-FOR
PASCAL VOC,object-category detection datasets,HYPONYM-OF
Probabilistic models,modeling and recognition of human motion,USED-FOR
triangulated graph,human motion model,USED-FOR
positions,models,USED-FOR
positions,velocities,CONJUNCTION
velocities,models,USED-FOR
heuristic approach,translation invariance,USED-FOR
approach,models,USED-FOR
them,human motion recognition,USED-FOR
approach,learning and detection phases,USED-FOR
positions,cues,HYPONYM-OF
positions,velocities,CONJUNCTION
velocities,cues,HYPONYM-OF
velocities,appearance,CONJUNCTION
appearance,cues,HYPONYM-OF
global variables,model,USED-FOR
global variables,global properties,USED-FOR
translation,global properties,HYPONYM-OF
translation,scale,CONJUNCTION
scale,global properties,HYPONYM-OF
scale,viewpoint,CONJUNCTION
viewpoint,global properties,HYPONYM-OF
unsupervised manner,model,USED-FOR
un-labelled data,unsupervised manner,USED-FOR
global variables,hybrid proba-bilistic model,USED-FOR
translation,global variables,HYPONYM-OF
relative positions,local variables,HYPONYM-OF
relative positions,appearances of body parts,CONJUNCTION
appearances of body parts,local variables,HYPONYM-OF
faster convergence,learning phase,FEATURE-OF
faster convergence,robustness,CONJUNCTION
robustness,recognition rate,CONJUNCTION
Factor analysis,principal components analysis,CONJUNCTION
Factor analysis,linear relationships between observed variables,USED-FOR
principal components analysis,linear relationships between observed variables,USED-FOR
nonlinear generalization of factor analysis,observed variables,USED-FOR
`` product analy-sis '',nonlinear generalization of factor analysis,HYPONYM-OF
linear combination of products of normally distributed hidden variables,nonlinear generalization of factor analysis,USED-FOR
unsupervised linear regression,factor analysis,USED-FOR
unsupervised linear regression,product analysis,USED-FOR
approximate variational technique,inference,USED-FOR
approximate variational technique,learning,USED-FOR
inference,learning,CONJUNCTION
product analysis,generalization of factor analysis,HYPONYM-OF
product analysis,factor analysis,COMPARE
pattern recognition,illumination-invariant image clustering,CONJUNCTION
domain independent strategy,multimedia articulation of answers,USED-FOR
multimedia articulation of answers,natural language interface,USED-FOR
natural language interface,database query applications,USED-FOR
videodisc images,Multimedia answers,PART-OF
Deictic reference,feedback,CONJUNCTION
Deictic reference,discourse,FEATURE-OF
feedback,discourse,FEATURE-OF
LOGON MT demonstrator,general-purpose NLP components,USED-FOR
general-purpose NLP components,machine translation pipeline,PART-OF
"hand-built , symbolic resources",demonstrator,PART-OF
"hand-built , symbolic resources",stochastic processes,CONJUNCTION
stochastic processes,demonstrator,PART-OF
syntax,semantics,CONJUNCTION
syntax,propositional language of context,FEATURE-OF
semantics,propositional language of context,FEATURE-OF
Hilbert style proof system,language,USED-FOR
classical propositional logic,propositional logic of context,USED-FOR
Image matching,Computer Vision,HYPONYM-OF
SIFT,feature-based matching,USED-FOR
large camera rotations,aerial images,FEATURE-OF
SIFT,RANSAC,CONJUNCTION
classification task,problem,USED-FOR
dataset of urban aerial imagery,models,USED-FOR
human study,problem,USED-FOR
annotations from Amazon Mechanical Turk,human study,USED-FOR
models,state-of-the-art,COMPARE
models,human accuracy,COMPARE
ultra-wide baseline matching,models,EVALUATE-FOR
ultra-wide baseline matching,state-of-the-art,EVALUATE-FOR
fine-grained annotation,stochastic parsers,USED-FOR
tree-bank,stochastic parsers,USED-FOR
treebank,grammars,USED-FOR
treebank,theoretical linguistic investigations,USED-FOR
SILVA,parsing and extraction tool,HYPONYM-OF
German text corpora,SILVA,USED-FOR
paraphrasing,interpretation and generation of natural language,USED-FOR
systems,paraphrases,USED-FOR
manual or semi-automatic methods,systems,USED-FOR
unsupervised learning algorithm,identification of paraphrases,USED-FOR
corpus of multiple English translations,identification of paraphrases,USED-FOR
approach,phrasal and single word lexical paraphrases,USED-FOR
approach,syntactic paraphrases,USED-FOR
phrasal and single word lexical paraphrases,syntactic paraphrases,CONJUNCTION
bit-vector-based CKY-style parser,context-free parsing,USED-FOR
parser,parse forest representation,USED-FOR
parse forest representation,large treebank grammars,USED-FOR
bit-vector operations,parser,USED-FOR
partially-blurred-image classification and analysis framework,automatically detecting images,USED-FOR
blurred regions,images,PART-OF
blur kernel estimation,image deblurring,CONJUNCTION
image color,blur features,USED-FOR
image color,gradient,CONJUNCTION
gradient,blur features,USED-FOR
gradient,spectrum information,CONJUNCTION
spectrum information,blur features,USED-FOR
feature parameter training,blurred images,USED-FOR
image patches,blur detection,USED-FOR
region-wise training and classification,blur detection,USED-FOR
method,computer vision problems,USED-FOR
image data,method,EVALUATE-FOR
motion analysis,computer vision problems,HYPONYM-OF
motion analysis,image restoration,CONJUNCTION
image restoration,computer vision problems,HYPONYM-OF
blur information,method,USED-FOR
one,word-sense disambiguation systems,HYPONYM-OF
one,other,CONJUNCTION
bilingual material,one,EVALUATE-FOR
other,word-sense disambiguation systems,HYPONYM-OF
monolingual material,other,USED-FOR
Roget 's Thesaurus,monolingual material,HYPONYM-OF
Roget 's Thesaurus,Grolier 's Encyclopedia,CONJUNCTION
Grolier 's Encyclopedia,monolingual material,HYPONYM-OF
it,disambiguation algorithms,EVALUATE-FOR
embedding methods,segmenting feature points of piece-wise planar structures,USED-FOR
higher-dimensional real or complex space,homographies,FEATURE-OF
complex bilinear form,homography,FEATURE-OF
complex bilinear form,real quadratic form,CONJUNCTION
real quadratic form,homography,FEATURE-OF
subspace-segmentation methods,closed-form segmentation solution,USED-FOR
2-D images,piece-wise planar scene,FEATURE-OF
Background maintenance,video surveillance systems,PART-OF
three-component system,background maintenance,USED-FOR
pixel-level component,three-component system,PART-OF
pixel-level component,region-level component,CONJUNCTION
Wiener filtering,pixel-level component,USED-FOR
Wiener filtering,probabilistic predictions of the expected background,USED-FOR
region-level component,three-component system,PART-OF
region-level component,homogeneous regions of foreground objects,USED-FOR
region-level component,frame-level component,CONJUNCTION
frame-level component,three-component system,PART-OF
system,background subtraction algorithms,COMPARE
Wallflower,algorithms,COMPARE
normative principles,background maintenance,USED-FOR
out-of-domain acoustic training data,speech recognizer,USED-FOR
Wallstreet Journal -LRB- WSJ -RRB- data,recognizer,USED-FOR
Phonebook domain,recognizer,EVALUATE-FOR
WSJ-trained recognizer,recognition,USED-FOR
adaptation data,WSJ-trained recognizer,USED-FOR
adaptation data,Phonebook training corpus,PART-OF
Phonebook-trained baseline acoustic model,recognition,USED-FOR
out-of-domain training data,Phonebook-trained baseline acoustic model,USED-FOR
approach,full parsing,USED-FOR
full parsing,Information Extraction,USED-FOR
It,IE module,USED-FOR
IE module,"FACILE , a EU project for multilingual text classification and IE",PART-OF
communicative signals,graphic interpretation system,USED-FOR
shallow processing,system,USED-FOR
graphic 's caption,shallow processing,USED-FOR
Graphical models,computer vision problems,USED-FOR
Bayesian Networks -LRB- BNs -RRB-,Graphical models,HYPONYM-OF
representative training data,BN model parameters,USED-FOR
representative training data,computer vision tasks,USED-FOR
qualitative prior knowledge,model,FEATURE-OF
domain experts,knowledge,USED-FOR
domain experts,physical or geometric constraints,CONJUNCTION
physical or geometric constraints,knowledge,USED-FOR
quantitative prior,qualitative prior,COMPARE
them,model learning process,PART-OF
limited training data,qualitative knowledge,CONJUNCTION
limited training data,BN parameter learning,USED-FOR
qualitative knowledge,BN parameter learning,USED-FOR
BN parameter learning,closed-form solution,USED-FOR
it,Maximum Likelihood -LRB- ML -RRB- estimation method,COMPARE
it,Expectation Maximization -LRB- EM -RRB- algorithm,COMPARE
sparse data,it,USED-FOR
sparse data,Maximum Likelihood -LRB- ML -RRB- estimation method,USED-FOR
incomplete data,it,USED-FOR
incomplete data,Expectation Maximization -LRB- EM -RRB- algorithm,USED-FOR
it,computer vision,USED-FOR
it,BN model,USED-FOR
BN model,facial Action Unit -LRB- AU -RRB- recognition,USED-FOR
real image data,facial Action Unit -LRB- AU -RRB- recognition,USED-FOR
generic qualitative constraints,training data,CONJUNCTION
generic qualitative constraints,method,USED-FOR
training data,method,USED-FOR
method,BN model parameters,USED-FOR
modal language LT,constraints on trees,USED-FOR
extension LT -LRB- LF -RRB-,constraints on trees decorated with feature structures,USED-FOR
languages,grammatical frameworks,USED-FOR
GPSG,LT -LRB- LF -RRB-,USED-FOR
clustering,inducing semantic verb classes,USED-FOR
undisambiguated corpus data,clustering,USED-FOR
clustering subcategorization frame -LRB- SCF -RRB- distributions,approach,PART-OF
Information Bottleneck and nearest neighbour methods,clustering subcategorization frame -LRB- SCF -RRB- distributions,USED-FOR
evaluation scheme,polysemy,USED-FOR
evaluation scheme,semantically classifying undisambiguated SCF data,EVALUATE-FOR
polysemy,clusters,FEATURE-OF
pan-tilt-zoom -LRB- PTZ -RRB- cameras,panoramic area,USED-FOR
pan-tilt-zoom -LRB- PTZ -RRB- cameras,high resolution imagery,USED-FOR
PTZ cameras,automated surveillance systems,FEATURE-OF
algorithms,relative positioning,USED-FOR
algorithms,orientation,USED-FOR
prior knowledge of intrinsic parameters of the PTZ camera,algorithms,USED-FOR
relative positioning,orientation,CONJUNCTION
relative positioning,PTZ cameras,FEATURE-OF
orientation,PTZ cameras,FEATURE-OF
mapping algorithm,relative positioning,USED-FOR
mapping algorithm,orientation,USED-FOR
relative positioning,orientation,CONJUNCTION
relative positioning,PTZ cameras,FEATURE-OF
orientation,PTZ cameras,FEATURE-OF
unified polynomial model,mapping algorithm,USED-FOR
computational complexity,algorithm,EVALUATE-FOR
flexibility,algorithm,EVALUATE-FOR
pixel accuracy,algorithm,EVALUATE-FOR
consistent labeling approaches,pixel accuracy,USED-FOR
two-pass algorithm,Extra Large -LRB- more than 1M words -RRB- Vocabulary COntinuous Speech recognition,USED-FOR
Information Retrieval -LRB- ELVIRCOS -RRB-,two-pass algorithm,USED-FOR
first pass,passes,HYPONYM-OF
second pass recognition,passes,HYPONYM-OF
information retrieval procedure,second pass recognition,USED-FOR
Word graph composition,continuous speech,USED-FOR
approach,large vocabulary speech recognition,USED-FOR
patch-based clustering algorithms,one-class classification,CONJUNCTION
uniform color and texture properties,one-class classifiers,USED-FOR
models,scene representation,USED-FOR
Bayesian classifiers,scene classification,USED-FOR
LabelMe data set,models,EVALUATE-FOR
LabelMe data set,baseline global feature-based approach,EVALUATE-FOR
models,baseline global feature-based approach,COMPARE
model,error correction,USED-FOR
model,post-processing,USED-FOR
post-processing,error correction,PART-OF
it,NLP tasks,USED-FOR
finite-state models,model,USED-FOR
character and word error rate,model,EVALUATE-FOR
automatic extraction of translation lexicons,model,EVALUATE-FOR
printed text,automatic extraction of translation lexicons,USED-FOR
framework,word alignment,USED-FOR
log-linear models,framework,USED-FOR
knowledge sources,feature functions,USED-FOR
Log-linear models,statistical alignment models,USED-FOR
syntactic information,Log-linear models,USED-FOR
IBM Model 3 alignment probabilities,POS correspondence,CONJUNCTION
IBM Model 3 alignment probabilities,features,USED-FOR
POS correspondence,bilingual dictionary coverage,CONJUNCTION
POS correspondence,features,USED-FOR
bilingual dictionary coverage,features,USED-FOR
log-linear models,IBM translation models,COMPARE
Hough voting,spatial verification,USED-FOR
geometric transformation space,Hough voting,FEATURE-OF
method,robust spatial verification,USED-FOR
multiple dithered transformations,method,USED-FOR
non-uniformity,Hough histogram,FEATURE-OF
non-uniformity,multiple matching surfaces,USED-FOR
method,"retrieval of small , rotated objects",USED-FOR
counterparts,method,COMPARE
accuracy,method,EVALUATE-FOR
accuracy,counterparts,EVALUATE-FOR
scalability,method,EVALUATE-FOR
scalability,counterparts,EVALUATE-FOR
bispectral photo-metric stereo,shape reconstruction,USED-FOR
fluorescence,bispectral photo-metric stereo,USED-FOR
complexity,emission process,EVALUATE-FOR
algorithms,computer vision,USED-FOR
algorithms,image processing,USED-FOR
computer vision,image processing,CONJUNCTION
fluorescence 's wavelength-shifting property,shape,USED-FOR
photomet-ric stereo,shape,USED-FOR
emission-only images,photomet-ric stereo,USED-FOR
methods,fluorescence-based method,COMPARE
approach,visual representation,USED-FOR
raw spatiotemporal signals in videos,visual representation,USED-FOR
unsupervised sequential verification task,method,USED-FOR
task,visual representation,USED-FOR
Convolutional Neural Network -LRB- CNN -RRB-,visual representation,USED-FOR
complementary information,representation,PART-OF
supervised image datasets,complementary information,USED-FOR
ImageNet,supervised image datasets,HYPONYM-OF
method,human pose,USED-FOR
pre-training,action recognition,USED-FOR
our method,pre-training,USED-FOR
our method,learning without external data,COMPARE
benchmark datasets,our method,EVALUATE-FOR
benchmark datasets,learning without external data,EVALUATE-FOR
UCF101,benchmark datasets,HYPONYM-OF
UCF101,HMDB51,CONJUNCTION
HMDB51,benchmark datasets,HYPONYM-OF
FLIC and MPII datasets,pose estimation,EVALUATE-FOR
supervision,approaches,USED-FOR
supervised representations,Our method,CONJUNCTION
accuracy,Our method,EVALUATE-FOR
explanation system,discourse plans,USED-FOR
"semantically rich , large-scale knowledge bases",explanation generation,USED-FOR
robust explanation system,multisentential and multi-paragraph explanations,USED-FOR
large-scale knowledge base,robust explanation system,USED-FOR
botanical anatomy,large-scale knowledge base,FEATURE-OF
botanical anatomy,physiology,CONJUNCTION
physiology,large-scale knowledge base,FEATURE-OF
physiology,development,CONJUNCTION
development,large-scale knowledge base,FEATURE-OF
methodology,explanation system,EVALUATE-FOR
cognito-pragmatic nature,operable definition,FEATURE-OF
FDA,programmable algorithm,HYPONYM-OF
FDA,discourse-level construct,USED-FOR
discourse-level construct,speech synthesis systems,PART-OF
concept-to-speech systems,speech synthesis systems,HYPONYM-OF
Inference,models,USED-FOR
combinatorial optimization problem,Inference,PART-OF
methods,combinatorial optimization problem,USED-FOR
graph cuts,methods,USED-FOR
graph cuts,belief propagation,CONJUNCTION
belief propagation,methods,USED-FOR
structured learning methods,problem,USED-FOR
large margin estimation,problem,USED-FOR
Iterative solutions,convex optimization problem,USED-FOR
convex problem,optimization problem,USED-FOR
Interpreting metaphors,human understanding of natural language,HYPONYM-OF
method,analyzing metaphors,USED-FOR
generalized metaphor mappings,analyzing metaphors,USED-FOR
recognition network,generalized metaphor,PART-OF
recognition network,basic mapping,CONJUNCTION
basic mapping,generalized metaphor,PART-OF
transfer mappings,generalized metaphor,PART-OF
transfer mappings,basic mapping,CONJUNCTION
transfer mappings,implicit intention component,CONJUNCTION
implicit intention component,generalized metaphor,PART-OF
method,metaphor interpretation,USED-FOR
recognition task,metaphor interpretation,USED-FOR
bilingual corpora,method to automatically acquire paraphrases,USED-FOR
bilingual dependency relations,method to automatically acquire paraphrases,USED-FOR
monolingual dependency parse,bilingual dependency relations,USED-FOR
statistical alignment techniques,bilingual dependency relations,USED-FOR
bilingual context of dependency relation,paraphrasing method,USED-FOR
method,generalized translation knowledge,USED-FOR
paraphrases,method,USED-FOR
method,generalized translation knowledge,USED-FOR
generalized translation knowledge,Korean-English translation,USED-FOR
paraphrasing method,paraphrases,USED-FOR
precision,paraphrasing method,EVALUATE-FOR
Korean,English,CONJUNCTION
bilingual corpora,translation knowledge,USED-FOR
paraphrases,translation knowledge,USED-FOR
compression ratio,translation knowledge,EVALUATE-FOR
Stabler 's formalization of Chomsky 's minimalist program,logical definition of Minimalist grammars,HYPONYM-OF
logical definition,Montague semantics,USED-FOR
parsing-as-deduction,resource sensitive logic,USED-FOR
structured data,learning algorithm,USED-FOR
typing-algorithm,learning algorithm,USED-FOR
typing-algorithm,type-unification,CONJUNCTION
type-unification,learning algorithm,USED-FOR
approaches,information extraction,USED-FOR
information extraction,token classification task,HYPONYM-OF
tagging strategies,token classification task,USED-FOR
it,strategies,COMPARE
system,natural language processing -LRB- NLP -RRB- systems,USED-FOR
core English lexicon,system,PART-OF
grammar,system,PART-OF
concept representations,system,PART-OF
natural language processing -LRB- NLP -RRB- systems,text understanding,USED-FOR
PAKTUS,knowledge based systems,USED-FOR
electronic message stream,NLP system,USED-FOR
news wire,electronic message stream,HYPONYM-OF
PAKTUS,JINTACCS messages,USED-FOR
PAKTUS,RAINFORM messages,USED-FOR
PAKTUS,news reports,USED-FOR
JINTACCS messages,RAINFORM messages,CONJUNCTION
RAINFORM messages,news reports,CONJUNCTION
event,news reports,FEATURE-OF
financial transfers,event,HYPONYM-OF
financial transfers,terrorist acts,CONJUNCTION
terrorist acts,event,HYPONYM-OF
sublanguage and domain-specific grammar,PAKTUS,USED-FOR
sublanguage and domain-specific grammar,words,CONJUNCTION
words,PAKTUS,USED-FOR
words,conceptual mappings,CONJUNCTION
conceptual mappings,PAKTUS,USED-FOR
conceptual mappings,discourse patterns,CONJUNCTION
discourse patterns,PAKTUS,USED-FOR
ARPA NOV93 CSR test,LIMSI recognizer,EVALUATE-FOR
WSJ and BREF corpora,LIMSI recognizer,EVALUATE-FOR
corpora,word recognition,EVALUATE-FOR
continuous density HMM,recognizer,USED-FOR
continuous density HMM,Gaussian mixture,CONJUNCTION
continuous density HMM,acoustic modeling,USED-FOR
continuous density HMM,n-gram statistics,CONJUNCTION
Gaussian mixture,acoustic modeling,USED-FOR
n-gram statistics,recognizer,USED-FOR
n-gram statistics,language modeling,USED-FOR
newspaper texts,n-gram statistics,EVALUATE-FOR
time-synchronous graph-search strategy,recognizer,USED-FOR
bigram back-off language models,recognizer,USED-FOR
bigram back-off language models,time-synchronous graph-search strategy,CONJUNCTION
bigram,word graph,USED-FOR
trigram language model,word graph,CONJUNCTION
cepstrum-based features,Acoustic modeling,USED-FOR
cepstrum-based features,context-dependent phone models -LRB- intra and interword -RRB-,CONJUNCTION
context-dependent phone models -LRB- intra and interword -RRB-,Acoustic modeling,USED-FOR
context-dependent phone models -LRB- intra and interword -RRB-,phone duration models,CONJUNCTION
phone duration models,Acoustic modeling,USED-FOR
phone duration models,sex-dependent models,CONJUNCTION
sex-dependent models,Acoustic modeling,USED-FOR
co-occurrence pattern,"object , scene , and action recognition",USED-FOR
binary or local features,co-occurrence pattern,PART-OF
data mining method,optimal co-occurrence pattern,USED-FOR
minimum empirical error,optimal co-occurrence pattern,FEATURE-OF
noisy training dataset,data mining method,USED-FOR
mining procedure,AND and OR patterns,USED-FOR
AND and OR patterns,boosting,PART-OF
boosting,boosting decision trees,COMPARE
boosting,boosting decision stumps,COMPARE
generalization ability,boosting,EVALUATE-FOR
generalization ability,boosting decision trees,EVALUATE-FOR
generalization ability,boosting decision stumps,EVALUATE-FOR
boosting decision trees,boosting decision stumps,CONJUNCTION
"object , scene , and action cat-egorization",dis-criminative co-occurrence patterns,EVALUATE-FOR
classifiers,language processing tasks,USED-FOR
maximum entropy classifiers,classifiers,HYPONYM-OF
maximum entropy classifiers,boosting,CONJUNCTION
boosting,classifiers,HYPONYM-OF
boosting,SVMs,CONJUNCTION
SVMs,classifiers,HYPONYM-OF
"N-fold Templated Piped Correction , or NTPC -LRB- `` nitpick '' -RRB-",error corrector,HYPONYM-OF
it,base models,COMPARE
construction-specific approach,flexible parsing,USED-FOR
construction-specific approach,specialized parsing techniques,CONJUNCTION
specialized parsing techniques,construction,USED-FOR
specialized parsing techniques,ambiguity representations,CONJUNCTION
ambiguity representations,ambiguity,USED-FOR
construction-specific approach,task-specific language development,USED-FOR
Discourse Representation Theory,French tenses,USED-FOR
it,IMS,USED-FOR
theory of tenses,It,USED-FOR
operators,meaning of the tenses,USED-FOR
preceeding text,system of relevant times,USED-FOR
preceeding text,temporal adverbials,CONJUNCTION
temporal adverbials,system of relevant times,USED-FOR
reference times,system,PART-OF
reference times,temporal perspective times,CONJUNCTION
temporal perspective times,system,PART-OF
temporal perspective times,speech time,CONJUNCTION
speech time,system,PART-OF
speech time,location time,CONJUNCTION
location time,system,PART-OF
resolution component,meaning of the tenses,USED-FOR
resolution component,syntactic analysis,COMPARE
electronic discussions,help-desk applications,PART-OF
features,electronic discussions,FEATURE-OF
electronic newsgroup discussions,clustering and filtering processes,EVALUATE-FOR
experiments,clustering and filtering processes,EVALUATE-FOR
experiments,clustering and filtering processes,EVALUATE-FOR
coarse-level clustering,experiments,HYPONYM-OF
information retrieval,experiments,HYPONYM-OF
method,word sense disambiguation,USED-FOR
parallel corpora,method,USED-FOR
method,word alignment,USED-FOR
method,word clustering,USED-FOR
word alignment,word clustering,CONJUNCTION
automatic extraction of translation equivalents,method,USED-FOR
aligned wordnets,method,USED-FOR
system,alignment errors in multilingually aligned wordnets,USED-FOR
BalkaNet,multilingually aligned wordnets,HYPONYM-OF
BalkaNet,EuroWordNet,CONJUNCTION
EuroWordNet,multilingually aligned wordnets,HYPONYM-OF
images,projective reconstruction,USED-FOR
3D geometrical configuration,3D points and cameras,FEATURE-OF
Natural Language Processing -LRB- NLP -RRB- system,new domain,USED-FOR
grammar,idiosyncracies of the new sublanguage,USED-FOR
knowledge-based techniques,hybrid system,PART-OF
knowledge-based techniques,corpus-based approach,CONJUNCTION
corpus-based approach,hybrid system,PART-OF
method,relations between representations,USED-FOR
feature structures,relations between representations,USED-FOR
approach,method,COMPARE
direct mappings of one feature structure into another,declarative formalism,FEATURE-OF
distributed message-passing infrastructure,dialogue systems,USED-FOR
limited-memory stochastic block BFGS update,incorporating enriched curvature information in stochastic approximation methods,USED-FOR
it,inverse Hessian matrix,USED-FOR
Hessian,it,USED-FOR
randomly generated compressed form of the Hessian,Hessian,HYPONYM-OF
quasi-Newton method,batch stochastic gradients,USED-FOR
stochastic block BFGS updates,quasi-Newton method,USED-FOR
stochastic block BFGS updates,variance reduction approach SVRG,CONJUNCTION
variance reduction approach SVRG,quasi-Newton method,USED-FOR
linear convergence,method,FEATURE-OF
large-scale logistic regression problems,method,EVALUATE-FOR
large-scale logistic regression problems,state-of-the-art methods,EVALUATE-FOR
method,state-of-the-art methods,COMPARE
spoken language system,interactive problem solving,USED-FOR
voice input,interactive problem solving,USED-FOR
speech recognition,natural language processing,CONJUNCTION
speech recognition,speech understanding,USED-FOR
natural language processing,speech understanding,USED-FOR
segment-based approach,robust and high-performance speech recognition system,USED-FOR
segment-based approach,phonetic recognition,USED-FOR
phonetic recognition,robust and high-performance speech recognition system,USED-FOR
recognition system,spoken language understanding,USED-FOR
natural language processing,recognition system,CONJUNCTION
natural language processing,spoken language understanding,USED-FOR
Spelling-checkers,text processing software,PART-OF
dictionaries of word forms,they,USED-FOR
languages,approach,USED-FOR
inflection,languages,FEATURE-OF
English,languages,HYPONYM-OF
Czech,highly inflective languages,HYPONYM-OF
Czech,Russian,CONJUNCTION
Russian,highly inflective languages,HYPONYM-OF
Russian,Slovak,CONJUNCTION
Slovak,highly inflective languages,HYPONYM-OF
Slovak,Slavonic languages,CONJUNCTION
Slavonic languages,highly inflective languages,HYPONYM-OF
method,inflection,USED-FOR
method,spelling-checkers,USED-FOR
spelling-checkers,languages,USED-FOR
English,spelling-checkers,USED-FOR
method,word classification,USED-FOR
unsupervised and supervised case,it,EVALUATE-FOR
unsupervised methods,part-of-speech tagging,USED-FOR
accuracy,algorithms,EVALUATE-FOR
"supervised , non-training intensive framework",tagger,EVALUATE-FOR
non-uniform sampling strategies,stochastic optimization algorithms,USED-FOR
linear convergence,stochastic optimization algorithms,FEATURE-OF
Stochastic Variance Reduced Gradient -LRB- SVRG -RRB-,stochastic optimization algorithms,HYPONYM-OF
Stochastic Variance Reduced Gradient -LRB- SVRG -RRB-,Stochastic Dual Coordinate Ascent -LRB- SDCA -RRB-,CONJUNCTION
Stochastic Dual Coordinate Ascent -LRB- SDCA -RRB-,stochastic optimization algorithms,HYPONYM-OF
methods,penalized empirical risk minimization problems,USED-FOR
data dependent local smoothness,methods,USED-FOR
data dependent local smoothness,loss functions,FEATURE-OF
local smoothness,algorithms,USED-FOR
task,morphologically rich languages,USED-FOR
factored language models,approaches,USED-FOR
morphological or syntactic features,conditioning variables,HYPONYM-OF
entirely data-driven model selection procedure,knowledge-based and random selection procedures,COMPARE
genetic search,entirely data-driven model selection procedure,USED-FOR
knowledge-based and random selection procedures,language modeling tasks,USED-FOR
Arabic,language modeling tasks,HYPONYM-OF
Arabic,Turkish,CONJUNCTION
Turkish,language modeling tasks,HYPONYM-OF
user modeling,cooperative responses,USED-FOR
